"term","hr","lo","hi","p","stratum","def","domain","n_pt","events"
"eg30to60",0.977294404915597,0.757265102782442,1.26125494278023,0.859915555089802,"progression","first","D5 prior-only coded diagnoses",1723,382
"af_prior",0.795495143592759,0.606411406548355,1.04353664302191,0.0984845551371145,"progression","first","D5 prior-only coded diagnoses",1723,382
"esrd_prior",0.992319359305994,0.532523306265929,1.84911664760401,0.980629459702665,"progression","first","D5 prior-only coded diagnoses",1723,382
"dm_prior",1.63131408698318,1.2992388842085,2.04826509022701,2.50597718049419e-05,"progression","first","D5 prior-only coded diagnoses",1723,382
"htn_prior",1.05036541573779,0.803422844006668,1.3732090328376,0.719331841474267,"progression","first","D5 prior-only coded diagnoses",1723,382
"cad_prior",0.951518451878665,0.753932239337666,1.2008869193085,0.675594393908132,"progression","first","D5 prior-only coded diagnoses",1723,382
"age10",1.01184402480206,0.911764346093679,1.12290893465408,0.824635301889099,"progression","confirmed","D3 prior-only AF and dialysis",6945,528
"male",0.616471481099651,0.503763869107823,0.75439528381075,2.65346947783076e-06,"progression","confirmed","D3 prior-only AF and dialysis",6945,528
"av_catmild",1.30276503554128,0.958848838009978,1.77003576637928,0.0907816110275075,"progression","confirmed","D3 prior-only AF and dialysis",6945,528
"av_catmod",3.12822324650143,2.17472062814616,4.49978749145992,7.8310737918648e-10,"progression","confirmed","D3 prior-only AF and dialysis",6945,528
"av_catsev",5.43342767669481,3.37113100147913,8.7573387996254,3.65012634386617e-12,"progression","confirmed","D3 prior-only AF and dialysis",6945,528
"ef_catlt40",0.438095249610044,0.280171814595833,0.685034816966708,0.000296225745666006,"progression","confirmed","D3 prior-only AF and dialysis",6945,528
"ef_cat40to49",0.701609043161502,0.47049999242662,1.04623859164625,0.0821614253902788,"progression","confirmed","D3 prior-only AF and dialysis",6945,528
"zE",1.32929363031951,1.22600542253933,1.44128363800229,5.29473143058523e-12,"progression","confirmed","D3 prior-only AF and dialysis",6945,528
"zla",1.10137953218078,0.996493450051631,1.2173054161509,0.0585972136581637,"progression","confirmed","D3 prior-only AF and dialysis",6945,528
"zivs",1.11959019455287,1.01362349228903,1.23663491747636,0.0259649809795805,"progression","confirmed","D3 prior-only AF and dialysis",6945,528
"zbmi",1.03654920415048,0.939461722481334,1.14367006862947,0.474348628622914,"progression","confirmed","D3 prior-only AF and dialysis",6945,528
"eglt30",1.91861622043821,1.29861817936634,2.83461933601205,0.00106720531463383,"progression","confirmed","D3 prior-only AF and dialysis",6945,528
"eg30to60",1.25172896602619,0.965040021623072,1.62358593351787,0.0906739107268163,"progression","confirmed","D3 prior-only AF and dialysis",6945,528
"af_prior",0.930736477028926,0.714253070918631,1.21283397291953,0.595129044446677,"progression","confirmed","D3 prior-only AF and dialysis",6945,528
"esrd_prior",0.869598876786582,0.419607586467586,1.80216523937157,0.707057897250649,"progression","confirmed","D3 prior-only AF and dialysis",6945,528
"age10",1.10289224795593,0.882795399320094,1.3778632189725,0.388501412992471,"progression","confirmed","D5 prior-only coded diagnoses",1723,108
"male",0.686597278016801,0.440487982993426,1.07021267408132,0.0968424366556321,"progression","confirmed","D5 prior-only coded diagnoses",1723,108
"av_catmild",1.44010822603665,0.784344565790345,2.64413344995721,0.239410352139275,"progression","confirmed","D5 prior-only coded diagnoses",1723,108
"av_catmod",4.15991944533061,1.99285869256681,8.68347056225596,0.000146729120481276,"progression","confirmed","D5 prior-only coded diagnoses",1723,108
"av_catsev",11.0890300127566,3.31105173597109,37.1382256845804,9.56087148208424e-05,"progression","confirmed","D5 prior-only coded diagnoses",1723,108
"ef_catlt40",0.113257214953689,0.0146629023782541,0.874806120109579,0.036776649307711,"progression","confirmed","D5 prior-only coded diagnoses",1723,108
"ef_cat40to49",0.220285162912547,0.0525750668916058,0.922976533714213,0.0384849086574942,"progression","confirmed","D5 prior-only coded diagnoses",1723,108
